"#user_id","#account_id","#distinct_id",$part_event,"#event_time",$part_date,"#lib_version",role_level,"#ip","#data_source",package_id,"#lib","#city",role_id,"#country_code","#province",server_id,role_name,channel_id,server_name,sdk_udid,sdk_open_id,"#country",sdk_adid,app_version,net_type,res_version,dev_version,dev_type,steel_plant,total_recharge_usd,role_ap,missile_factory_lv,remain_rare_earth,naval_academy_lv,manu_factory_lv,oil_plant,role_bp,total_recharge_times,headquarters_lv,server_zone_offset,total_online_time,coastal_comand_lv,total_login_days,vip_level,power_plant,remain_power,remain_steel,remain_oil,torpedo_factory_lv,vip_exp,server_alive_days,faction_name,aircraft_factory_lv,warehouse_lv,world_progress_ptase,remain_diamond,dev_model,event_time,base_coordinate,base_seas_id,faction_level,faction_exp,empire_stage_id,expedition_stage_id,current_server_id,total_recharge_cny
1468485114479513618,6000310001473,6000310001473,role_create,2026-02-04 05:55:26.840,2026-02-04,3.0.0,1,113.185.44.217,Import_Tools,84,tga_java_sdk,河内市,6000310001473,VN,河内,31,,6,S31,uar_dc1f34dbcbd9061f9677990eff7d4ee0,a4802e600824ce50706ad237aa7b8b01,越南,a5198ce4e2716e835659d0b8c939d424,2.2.49,5G,16.2.3,Android OS 12 / API-31 (SP1A.210812.016/S.202208101248),Android,,0,100,0,0,0,0,,0,0,0,8,0,0,0,0,,15000,20000,10000,0,0,6,0,0,0,5,0,OPPO CPH2495,2026-02-04 05:55:26.840,"{""right"":423,""left"":435}",5,1,42760,2056,0,31,
1468451014834143234,9000310004546,9000310004546,role_create,2026-02-04 03:39:57.865,2026-02-04,3.0.0,1,60.66.224.77,Import_Tools,129,tga_java_sdk,练马区,9000310004546,JP,东京都,31,,9,S31,uios_17701475460tvvve3lcsggzi9r9,13c755b87683c558903a610d07be593d,日本,,0.1.26,WIFI,16.2.3,iOS 26.2,IPhonePlayer,,0,100,0,0,0,0,,0,0,0,8,0,0,0,0,,15000,20000,10000,0,0,6,0,0,0,5,0,"iPhone14,4",2026-02-04 03:39:57.865,"{""right"":221,""left"":30}",11,1,42070,2324,0,31,
1468470895818313728,9000310004557,9000310004557,role_create,2026-02-04 04:58:58.428,2026-02-04,3.0.0,1,175.115.32.112,Import_Tools,134,tga_java_sdk,Siheung,9000310004557,KR,京畿道,31,,6,S31,uar_f34bc0feed19590941457cb99ce80f73,a304b5eaa54428822ca12868f24faf2e,韩国,83aee54c8d8aff5ee08cdd58f54b6784,1.0.31,WIFI,16.2.3,Android OS 14 / API-34 (UP1A.231005.007/X610KOU5BXL2),Android,,0,100,0,0,0,0,,0,0,0,8,0,0,0,0,,15000,20000,10000,0,0,6,0,0,0,5,0,samsung SM-X610,2026-02-04 04:58:58.428,"{""right"":402,""left"":86}",1,1,49050,2041,0,31,
1468464469192491008,9000310004553,9000310004553,role_create,2026-02-04 04:33:10.311,2026-02-04,3.0.0,1,210.194.189.244,Import_Tools,131,tga_java_sdk,立川市,9000310004553,JP,东京都,31,,6,S31,uar_ffff4eb1ba86895b0d6f698fb399db2a,b19ba6e53f8e7fee456e7ff79a49ff32,日本,2dc5d6a9b2ae5b2a011437196a50da6a,1.0.32,WIFI,16.2.3,Android OS 16 / API-36 (BP4A.260105.004.E1/14587043),Android,,0,100,0,0,0,0,,0,0,0,8,0,0,0,0,,15000,20000,10000,0,0,6,0,0,0,5,0,Google Pixel 7a,2026-02-04 04:33:10.311,"{""right"":415,""left"":452}",5,1,48440,2042,0,31,
1468481339622694912,9000310004566,9000310004566,role_create,2026-02-04 05:40:02.525,2026-02-04,3.0.0,1,128.204.74.137,Import_Tools,140,tga_java_sdk,圣彼得堡,9000310004566,RU,圣彼得堡,31,,32,S31,uar_28ee1e46cec1738b0a79bc9a491a74db,28a4d8a16f07cca092b148e0cf0ffafc,俄罗斯,75b531fbb599ac4a7e1531ea8d0323b4,1.0.32,5G,16.2.3,Android OS 11 / API-30 (RP1A.200720.011/V12.5.7.0.RCDRUXM),Android,,0,100,0,0,0,0,,0,0,0,8,0,0,0,0,,15000,20000,10000,0,0,6,0,0,0,5,0,Xiaomi M2006C3LG,2026-02-04 05:40:02.525,"{""right"":458,""left"":19}",1,1,50310,2024,0,31,
1468444965725024260,9000310004542,9000310004542,role_create,2026-02-04 03:15:44.784,2026-02-04,3.0.0,1,61.81.40.116,Import_Tools,134,tga_java_sdk,城南市,9000310004542,KR,京畿道,31,,6,S31,uar_0d82424864080ba9e888129433a51e71,1accaff6e20d69dad26198442b7e7f3e,韩国,9d579399e465b150ce0630ae09faacd7,1.0.31,WIFI,16.2.3,Android OS 13 / API-33 (TP1A.220624.014/G988NKSS8IYC2),Android,,0,100,0,0,0,0,,0,0,0,8,0,0,0,0,,15000,20000,10000,0,0,6,0,0,0,5,0,samsung SM-G988N,2026-02-04 03:15:44.784,"{""right"":252,""left"":52}",11,1,41990,2021,0,31,
1468468873173934080,9000310004555,9000310004555,role_create,2026-02-04 04:50:32.997,2026-02-04,3.0.0,1,223.39.207.58,Import_Tools,134,tga_java_sdk,马山市,9000310004555,KR,庆尚南道,31,,6,S31,uar_65491682e7edd4c6919136ce44afe87e,c42038aece696744e46e7e94a1af4264,韩国,92082daf19459367097b65ed2713a046,1.0.31,5G,16.2.3,Android OS 13 / API-33 (TP1A.220624.014/A325NKSS9DYA1),Android,,0,100,0,0,0,0,,0,0,0,8,0,0,0,0,,15000,20000,10000,0,0,6,0,0,0,5,0,samsung SM-A325N,2026-02-04 04:50:32.997,"{""right"":256,""left"":1}",11,1,49020,2021,0,31,
1468476306415955974,9000310004560,9000310004560,role_create,2026-02-04 05:20:24.425,2026-02-04,3.0.0,1,60.239.208.33,Import_Tools,131,tga_java_sdk,冈山市,9000310004560,JP,冈山县,31,,6,S31,uar_1327fb35ea71e4a0d0606938bda7f1d1,160be69287574c438041a5b99f012d7b,日本,4e7869c97e923bd5948aeef54a0909aa,1.0.32,WIFI,16.2.3,Android OS 16 / API-36 (BP3A.251105.015/14339231),Android,,0,100,0,0,0,0,,0,0,0,8,0,0,0,0,,15000,20000,10000,0,0,6,0,0,0,5,0,Google Pixel 7a,2026-02-04 05:20:24.425,"{""right"":466,""left"":493}",5,1,42100,2016,0,31,
1468476306445316096,9000310004559,9000310004559,role_create,2026-02-04 05:20:07.842,2026-02-04,3.0.0,1,31.133.56.169,Import_Tools,140,tga_java_sdk,莫斯科,9000310004559,RU,莫斯科,31,,32,S31,uar_e52390423010610b7ec8d56e0beaba90,8de3c623b989df0c8ac65a7eab7cca5d,俄罗斯,4567970941cfba3ad787bc478efc56c5,1.0.31,WIFI,16.2.3,Android OS 12 / API-31 (HUAWEIGOA-LX9/104.2.0.172C10),Android,,0,100,0,0,0,0,,0,0,0,8,0,0,0,0,,15000,20000,10000,0,0,6,0,0,0,5,0,HUAWEI GOA-LX9,2026-02-04 05:20:07.842,"{""right"":271,""left"":97}",11,1,49320,2016,0,31,
1468481959364673536,9000310004568,9000310004568,role_create,2026-02-04 05:42:51.020,2026-02-04,3.0.0,1,211.234.188.223,Import_Tools,134,tga_java_sdk,Seongbuk,9000310004568,KR,首尔特别市,31,,6,S31,uar_423970309e3187f61a8b8b5c8ab40548,ecfa1a7120345a0891c2ecda56fbaf33,韩国,8fb88163dd82c67f10c5fd30454577ea,1.0.31,WIFI,16.2.3,Android OS 16 / API-36 (BP2A.250605.031.A3/X810XXS5DZA1),Android,,0,100,0,0,0,0,,0,0,0,8,0,0,0,0,,15000,20000,10000,0,0,6,0,0,0,5,0,samsung SM-X810,2026-02-04 05:42:51.020,"{""right"":485,""left"":274}",3,1,42660,2021,0,31,
